Source,Target,Type,Id,Label,timeset,Weight
7.298617159706583e+17,730811617.0,Directed,1363,,,3
1.305035641802154e+18,730811617.0,Directed,1053,,,3
1039152966.0,9.404990858864804e+17,Directed,2,,,3
1.49796817063578e+18,9.404990858864804e+17,Directed,141002,,,2
1.3355003543483433e+18,9.404990858864804e+17,Directed,100962,,,2
7.822299213053583e+17,9.404990858864804e+17,Directed,100665,,,2
403671464.0,9.404990858864804e+17,Directed,100142,,,2
379142384.0,9.404990858864804e+17,Directed,99986,,,2
1.14140318773325e+18,9.404990858864804e+17,Directed,84509,,,2
49963032.0,9.404990858864804e+17,Directed,82247,,,2
4243397843.0,9.404990858864804e+17,Directed,82061,,,2
1.2868928245716541e+18,9.404990858864804e+17,Directed,79928,,,2
363954532.0,9.404990858864804e+17,Directed,79871,,,2
146600467.0,9.404990858864804e+17,Directed,79840,,,2
3301489823.0,9.404990858864804e+17,Directed,79563,,,2
489422493.0,9.404990858864804e+17,Directed,79536,,,2
1.3299009280912302e+18,9.404990858864804e+17,Directed,79311,,,2
142686827.0,9.404990858864804e+17,Directed,79298,,,2
1.5710105042435318e+18,9.404990858864804e+17,Directed,68127,,,2
1.5342248420309934e+18,9.404990858864804e+17,Directed,68071,,,3
1857265442.0,9.404990858864804e+17,Directed,66700,,,2
74853733.0,9.404990858864804e+17,Directed,55138,,,2
1.5080365895528202e+18,9.404990858864804e+17,Directed,50353,,,2
2359496138.0,9.404990858864804e+17,Directed,45178,,,2
1.1961804056212685e+18,9.404990858864804e+17,Directed,44804,,,2
9.928044053124137e+17,9.404990858864804e+17,Directed,43537,,,2
1.5388287056566108e+18,9.404990858864804e+17,Directed,43221,,,2
337102568.0,9.404990858864804e+17,Directed,43214,,,2
1.489280442033447e+18,9.404990858864804e+17,Directed,43212,,,2
1.2938450233693307e+18,9.404990858864804e+17,Directed,42908,,,2
1.0057686286655037e+18,9.404990858864804e+17,Directed,42831,,,2
1.3590775940088463e+18,9.404990858864804e+17,Directed,42828,,,2
1.0332801127147561e+18,9.404990858864804e+17,Directed,42499,,,2
1.4979399882516111e+18,9.404990858864804e+17,Directed,42332,,,2
1033180843.0,9.404990858864804e+17,Directed,42262,,,4
601299223.0,9.404990858864804e+17,Directed,41907,,,2
1.1723780462606377e+18,9.404990858864804e+17,Directed,41811,,,4
2949317921.0,9.404990858864804e+17,Directed,40910,,,2
491545779.0,9.404990858864804e+17,Directed,40888,,,2
479660034.0,9.404990858864804e+17,Directed,40707,,,3
9.801160017140695e+17,9.404990858864804e+17,Directed,40616,,,2
2784125716.0,9.404990858864804e+17,Directed,40539,,,2
1.3428268524743516e+18,9.404990858864804e+17,Directed,40398,,,2
1851030847.0,9.404990858864804e+17,Directed,38777,,,2
2227277788.0,9.404990858864804e+17,Directed,36499,,,5
1.2595307928600822e+18,9.404990858864804e+17,Directed,36252,,,2
490091251.0,9.404990858864804e+17,Directed,35630,,,7
1.0106101829157888e+18,9.404990858864804e+17,Directed,35587,,,5
9.246658340391199e+17,9.404990858864804e+17,Directed,35498,,,2
2358354744.0,9.404990858864804e+17,Directed,35483,,,2
1213340401.0,9.404990858864804e+17,Directed,35463,,,3
422511634.0,9.404990858864804e+17,Directed,35441,,,2
459208308.0,9.404990858864804e+17,Directed,35322,,,2
2780973340.0,9.404990858864804e+17,Directed,35052,,,5
1041680660.0,9.404990858864804e+17,Directed,35000,,,3
227963112.0,9.404990858864804e+17,Directed,34974,,,3
280605138.0,9.404990858864804e+17,Directed,34938,,,2
416692624.0,9.404990858864804e+17,Directed,34842,,,2
480548505.0,9.404990858864804e+17,Directed,34324,,,5
3009668896.0,9.404990858864804e+17,Directed,34154,,,2
576060638.0,9.404990858864804e+17,Directed,34147,,,2
